"EXTF";700;21;"Buchungsstapel";13;20260829165637630;;;;;1234567;1;20250101;4;20250301;20250331;"Rechnungsausgang 2025-03-01 bis 2025-03-31";;1;0;0;"EUR";;;;0;;;;;
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land u. UStID (Bestimmung);EU-Steuersatz (Bestimmung)
3145,92;"S";"EUR";;;;13228;8400;;1103;"250311001";;;"RE 250311001 Euchner GmbH + Co. KG Industrie-Elektrik und -E";;;;;;;;;;;;;;;;;;;;;;;;;;;
689,01;"S";"EUR";;;;12995;8400;;1203;"250312009";;;"RE 250312009 Süd.Com GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
98,77;"S";"EUR";;;;12926;8400;;1203;"250312004";;;"RE 250312004 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
452,20;"S";"EUR";;;;12826;8400;;1303;"250313006";;;"RE 250313006 Zeller GmbH Karosseriebau & Lackierfachbetrieb";;;;;;;;;;;;;;;;;;;;;;;;;;;
147,44;"S";"EUR";;;;13088;8400;;1303;"250313004";;;"RE 250313004 Rollmann Orthopädie - Schuhtechnik";;;;;;;;;;;;;;;;;;;;;;;;;;;
1299,55;"S";"EUR";;;;13335;8400;;1303;"250313002";;;"RE 250313002 KOMESO GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
102,22;"S";"EUR";;;;13045;8400;;1403;"250314004";;;"RE 250314004 SIS Swiss Intern. School gemeinnützige GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
69,02;"S";"EUR";;;;10085;8400;;1403;"250314003";;;"RE 250314003 Kreissparkasse Göppingen";;;;;;;;;;;;;;;;;;;;;;;;;;;
82,36;"S";"EUR";;;;10121;8400;;1403;"250314002";;;"RE 250314002 Detloff GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
296,37;"S";"EUR";;;;14012;8400;;1403;"250314001";;;"RE 250314001 Les Ateliers Bijoux GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
553,06;"S";"EUR";;;;13228;8400;;1703;"250317005";;;"RE 250317005 Euchner GmbH + Co. KG Industrie-Elektrik und -E";;;;;;;;;;;;;;;;;;;;;;;;;;;
503,22;"S";"EUR";;;;12832;8400;;1703;"250317004";;;"RE 250317004 Abtart GmbH & Co. KG..";;;;;;;;;;;;;;;;;;;;;;;;;;;
623,55;"S";"EUR";;;;12832;8400;;1703;"250317003";;;"RE 250317003 Abtart GmbH & Co. KG..";;;;;;;;;;;;;;;;;;;;;;;;;;;
18783,31;"S";"EUR";;;;12835;8300;;1703;"250317001";;;"RE 250317001 Telefonbuchverlag Bangert KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
489,80;"S";"EUR";;;;12926;8400;;1903;"250319007";;;"RE 250319007 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
564,06;"S";"EUR";;;;12926;8400;;1903;"250319006";;;"RE 250319006 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
137,61;"S";"EUR";;;;12926;8400;;1903;"250319005";;;"RE 250319005 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
137,61;"S";"EUR";;;;12926;8400;;1903;"250319004";;;"RE 250319004 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
443,16;"S";"EUR";;;;12926;8400;;1903;"250319003";;;"RE 250319003 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
98,77;"S";"EUR";;;;12926;8400;;1903;"250319002";;;"RE 250319002 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
690,65;"S";"EUR";;;;10063;8400;;2003;"250320006";;;"RE 250320006 Abfallwirtschaftsbetrieb des Landkreises Göppin";;;;;;;;;;;;;;;;;;;;;;;;;;;
903,44;"S";"EUR";;;;12510;8400;;2003;"250320004";;;"RE 250320004 alexy visuelle gestaltung";;;;;;;;;;;;;;;;;;;;;;;;;;;
634,95;"S";"EUR";;;;13291;8400;;2003;"250320001";;;"RE 250320001 Frank Schweizer";;;;;;;;;;;;;;;;;;;;;;;;;;;
5465,45;"S";"EUR";;;;13458;8300;;2003;"250320003";;;"RE 250320003 logografisch Design und Fotografie J. Neuburger";;;;;;;;;;;;;;;;;;;;;;;;;;;
189,98;"S";"EUR";;;;12850;8400;;2103;"250321004";;;"RE 250321004 Belden Deutschland GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
189,98;"S";"EUR";;;;12850;8400;;2103;"250321003";;;"RE 250321003 Belden Deutschland GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
392,70;"S";"EUR";;;;13099;8400;;2103;"250321002";;;"RE 250321002 Festool GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
968,92;"S";"EUR";;;;13177;8400;;2103;"250321001";;;"RE 250321001 Turngau Staufen e.V.";;;;;;;;;;;;;;;;;;;;;;;;;;;
2785,74;"S";"EUR";;;;10085;8400;;2403;"250324006";;;"RE 250324006 Kreissparkasse Göppingen";;;;;;;;;;;;;;;;;;;;;;;;;;;
7311,56;"S";"EUR";;;;10085;8400;;2403;"250324001";;;"RE 250324001 Kreissparkasse Göppingen";;;;;;;;;;;;;;;;;;;;;;;;;;;
5183,09;"S";"EUR";;;;13154;8400;;2503;"250325009";;;"RE 250325009 publick VISUELLE KOMMUNIKATION";;;;;;;;;;;;;;;;;;;;;;;;;;;
206,86;"S";"EUR";;;;10085;8400;;2503;"250325005";;;"RE 250325005 Kreissparkasse Göppingen";;;;;;;;;;;;;;;;;;;;;;;;;;;
433,07;"S";"EUR";;;;12510;8300;;2503;"250325002";;;"RE 250325002 alexy visuelle gestaltung";;;;;;;;;;;;;;;;;;;;;;;;;;;
1423,36;"S";"EUR";;;;10263;8400;;2503;"250325001";;;"RE 250325001 Pro Ebersbach e.V.";;;;;;;;;;;;;;;;;;;;;;;;;;;
2018,63;"S";"EUR";;;;13064;8400;;2603;"250326006";;;"RE 250326006 POS GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
2618,00;"S";"EUR";;;;19259;8400;;2603;"250326003";;;"RE 250326003 Regler Office GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
333,19;"S";"EUR";;;;12512;8400;;3103;"250331021";;;"RE 250331021 W. Kohlhammer Druckerei GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
1491,26;"S";"EUR";;;;13082;8400;;3103;"250331015";;;"RE 250331015 Leitz GmbH & Co. KG Werkzeugfabrik Werk";;;;;;;;;;;;;;;;;;;;;;;;;;;
761,60;"S";"EUR";;;;13099;8400;;3103;"250331014";;;"RE 250331014 Festool GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
357,00;"S";"EUR";;;;14028;8400;;3103;"250331012";;;"RE 250331012 Wolf D. Huwald oHG";;;;;;;;;;;;;;;;;;;;;;;;;;;
285,60;"S";"EUR";;;;12926;8400;;3103;"250331009";;;"RE 250331009 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
1428,00;"S";"EUR";;;;10113;8400;;3103;"250331006";;;"RE 250331006 Kempf GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
474,25;"S";"EUR";;;;13458;8400;;3103;"250331003";;;"RE 250331003 logografisch Design und Fotografie J. Neuburger";;;;;;;;;;;;;;;;;;;;;;;;;;;
229,23;"S";"EUR";;;;12973;8400;;3103;"250331002";;;"RE 250331002 Senner Druck GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
1217,37;"S";"EUR";;;;10002;8400;;3103;"250331004";;;"RE 250331004 ALLGAIER WERKE GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
